date,"Bear River (primary, near Corinne)",Bear River (upstream gap-fill),Weber River (near Plain City),Jordan River (Surplus Canal),Jordan River (1700 South),TOTAL_INFLOW_cfs
1970-12-01,1969.3548387096773,1695.8064516129032,413.258064516129,307.38709677419354,172.4516129032258,4558.258064516128
1971-01-01,2681.6129032258063,2351.7096774193546,548.483870967742,421.5483870967742,183.09677419354838,6186.451612903226
1971-02-01,2720.714285714286,2553.5714285714284,583.6785714285714,519.7142857142857,165.67857142857142,6543.357142857142
1971-03-01,2902.5806451612902,2787.4193548387098,909.0322580645161,550.8387096774194,175.29032258064515,7325.1612903225805
1971-04-01,4301.333333333333,4123.333333333333,1983.3333333333333,522.2,90.53333333333333,11020.733333333334
1971-05-01,5443.548387096775,5343.870967741936,1676.1290322580646,481.7741935483871,80.0,13025.322580645161
1971-06-01,6092.333333333333,5914.0,832.4333333333333,583.2666666666667,145.5,13567.533333333331
1971-07-01,2477.7419354838707,2172.1935483870966,98.45161290322581,220.1290322580645,149.83870967741936,5118.354838709677
1971-08-01,1166.8064516129032,1006.4516129032259,103.12903225806451,243.8709677419355,153.19354838709677,2673.4516129032254
1971-09-01,2294.3333333333335,1901.6666666666667,295.56666666666666,248.66666666666666,173.16666666666666,4913.400000000001
1971-10-01,2872.2580645161293,2472.5806451612902,446.35483870967744,213.3548387096774,170.80645161290323,6175.354838709677
1971-11-01,2902.6666666666665,2474.0,419.1333333333333,253.76666666666668,152.63333333333333,6202.199999999999
1971-12-01,2959.6774193548385,2535.483870967742,391.35483870967744,338.64516129032256,159.93548387096774,6385.096774193548
1972-01-01,3220.6451612903224,2641.2903225806454,575.5483870967741,445.8709677419355,169.09677419354838,7052.451612903226
1972-02-01,2888.9655172413795,2517.5862068965516,721.8620689655172,481.7241379310345,171.6206896551724,6781.758620689655
1972-03-01,3678.7096774193546,3402.5806451612902,1674.516129032258,525.258064516129,160.58064516129033,9441.645161290322
1972-04-01,4164.0,3907.3333333333335,2172.3333333333335,596.7666666666667,38.96666666666667,10879.400000000001
1972-05-01,4091.935483870968,3950.967741935484,1365.4193548387098,382.16129032258067,138.96774193548387,9929.451612903225
1972-06-01,3054.0,2881.6666666666665,552.4,463.23333333333335,139.76666666666668,7091.066666666666
1972-07-01,1588.5806451612902,1308.967741935484,78.3225806451613,211.19354838709677,140.93548387096774,3328.0
1972-08-01,880.0645161290323,757.8064516129032,97.0,252.7741935483871,139.25806451612902,2126.9032258064517
1972-09-01,1949.0333333333333,1721.7333333333333,151.8,277.0,172.63333333333333,4272.2
1972-10-01,2108.7096774193546,1854.6129032258063,396.4516129032258,215.1290322580645,158.61290322580646,4733.516129032258
1972-11-01,2504.0,2234.0,393.5,131.73333333333332,159.43333333333334,5422.666666666667
1972-12-01,2376.1290322580644,2053.2258064516127,427.38709677419354,120.61290322580645,140.93548387096774,5118.290322580645
1973-01-01,2506.451612903226,2201.2903225806454,577.3225806451613,242.3548387096774,131.48387096774192,5658.903225806451
1973-02-01,2521.4285714285716,2293.214285714286,618.7142857142857,441.85714285714283,144.10714285714286,6019.321428571428
1973-03-01,3273.2258064516127,2945.483870967742,889.4193548387096,477.2903225806452,153.38709677419354,7738.806451612902
1973-04-01,3261.6666666666665,2999.0,1003.4,554.8,127.6,7946.466666666666
1973-05-01,3020.6451612903224,2707.0967741935483,1969.6774193548388,601.1612903225806,124.58064516129032,8423.161290322581
1973-06-01,907.8,626.4,632.1333333333333,479.3333333333333,193.4,2839.0666666666666
1973-07-01,629.9677419354839,449.0967741935484,135.8709677419355,305.741935483871,182.29032258064515,1702.967741935484
1973-08-01,128.4516129032258,23.322580645161292,98.16129032258064,218.41935483870967,169.48387096774192,637.8387096774193
1973-09-01,1419.4666666666667,1364.6333333333334,328.3333333333333,327.76666666666665,179.03333333333333,3619.233333333334
1973-10-01,1734.516129032258,1607.8387096774193,491.6774193548387,222.38709677419354,179.19354838709677,4235.612903225806
1973-11-01,1629.9333333333334,1514.3333333333333,510.96666666666664,288.8666666666667,186.5,4130.6
1973-12-01,1901.2903225806451,1808.0645161290322,406.7741935483871,353.16129032258067,179.3548387096774,4648.645161290322
1974-01-01,2248.3870967741937,1991.9354838709678,588.741935483871,533.9032258064516,177.70967741935485,5540.677419354839
1974-02-01,2268.5714285714284,2028.5714285714287,569.6428571428571,588.6785714285714,171.17857142857142,5626.642857142857
1974-03-01,3557.4193548387098,3398.064516129032,1173.2903225806451,647.9354838709677,129.58064516129033,8906.290322580644
1974-04-01,3267.3333333333335,3186.3333333333335,1753.0,801.4666666666667,85.93333333333334,9094.066666666668
1974-05-01,3370.6451612903224,3163.8709677419356,2376.451612903226,670.3225806451613,62.41935483870968,9643.709677419354
1974-06-01,2506.1666666666665,2368.6,674.0333333333333,502.23333333333335,162.9,6213.9333333333325
1974-07-01,704.5806451612904,619.9354838709677,69.19354838709677,235.67741935483872,176.5483870967742,1805.9354838709678
1974-08-01,738.2903225806451,638.7096774193549,60.54838709677419,224.32258064516128,151.16129032258064,1813.032258064516
1974-09-01,1047.9333333333334,926.9666666666667,97.13333333333334,250.96666666666667,169.13333333333333,2492.133333333333
1974-10-01,1255.1935483870968,1045.0645161290322,217.67741935483872,212.25806451612902,166.3548387096774,2896.548387096774
1974-11-01,1339.8333333333333,1148.7666666666667,230.06666666666666,131.8,135.83333333333334,2986.3
1974-12-01,1723.5483870967741,1546.774193548387,239.96774193548387,135.93548387096774,120.03225806451613,3766.258064516129
1975-01-01,1820.967741935484,1673.5483870967741,334.741935483871,137.48387096774192,105.41935483870968,4072.1612903225805
1975-02-01,1692.142857142857,1474.0357142857142,449.64285714285717,337.2142857142857,118.17857142857143,4071.2142857142862
