date,"Bear River (primary, near Corinne)_acft",Bear River (upstream gap-fill)_acft,Weber River (near Plain City)_acft,Jordan River (Surplus Canal)_acft,Jordan River (1700 South)_acft,TOTAL_INFLOW_cfs_acft
1968-03-01,146937.68,125714.23,10496.682,16695.1195,8019.290500000001,307863.00200000004
1968-04-01,119803.4,103697.38,12486.132500000003,21967.2625,9506.915500000001,267461.0905
1968-05-01,63640.5975,48809.968,27158.082000000002,22397.682,5637.107,167643.4365
1968-06-01,107535.45250000001,89130.556,51614.637,35578.0395,7628.540999999999,291487.22599999997
1968-07-01,6958.1179999999995,1356.7140000000002,5002.387000000001,12377.039999999999,10056.345000000001,35750.60400000001
1968-08-01,41629.698,30341.5995,11133.385499999999,17036.2815,9733.0345,109873.99900000001
1968-09-01,19349.042500000003,11857.363000000001,7981.604,13019.694000000001,9903.6155,62111.31900000001
1968-10-01,70198.04850000002,62190.659,19890.538,12297.7,9411.7075,173988.653
1968-11-01,111363.6075,98157.4645,25474.090500000002,11073.8805,8638.1425,254707.18550000002
1968-12-01,113515.70500000003,101138.665,29766.384500000004,17480.5855,9451.3775,271352.7175
1969-01-01,160127.955,137734.24,39606.528,24111.426,9705.265500000001,371285.4145
1969-02-01,117423.20000000001,102527.11500000002,39915.954,29806.054500000002,10082.130500000001,299754.454
1969-03-01,172683.51,152987.355,122481.12500000001,35587.957,9826.259,493566.206
1969-04-01,253431.795,233021.58000000002,90665.785,39429.9965,7432.174500000001,623981.3310000001
1969-05-01,125537.69850000003,104189.28800000002,83308.9835,27223.537500000002,6960.101499999999,347219.609
1969-06-01,42661.118,32592.872000000003,22970.913500000002,30920.7815,7505.564,136651.24899999998
1969-07-01,27007.336000000003,14350.622499999998,8536.984,12468.281,9840.1435,72203.367
1969-08-01,7711.848,1392.417,4381.5515000000005,11508.267,10246.761,35240.8445
1969-09-01,13791.275500000002,6033.807000000001,5335.615000000001,11984.307,10393.539999999999,47538.5445
1969-10-01,61891.15049999999,50571.316000000006,18496.1375,15929.488500000001,11315.8675,158203.96000000002
1969-11-01,84643.879,74252.3225,23321.993000000002,13945.988500000001,10780.322499999998,206944.50550000003
1969-12-01,101416.35499999998,85405.543,11726.452000000001,20043.267499999998,11920.835000000001,230512.45249999998
1970-01-01,121053.005,97776.6325,17028.3475,29107.8625,10956.854,275922.70149999997
1970-02-01,84397.925,68851.25200000001,6771.669000000002,31948.234500000002,8009.373000000001,199978.45350000003
1970-03-01,84128.16900000001,73367.6815,8568.72,33903.9655,8261.2775,208229.81350000005
1970-04-01,79736.7,72034.7695,14711.6195,23742.495000000003,7380.603499999999,197606.1875
1970-05-01,125359.1835,109106.38450000001,49155.097,33640.16,5317.7635,322578.58849999995
1970-06-01,96106.5255,76995.50300000001,44793.3805,33068.912000000004,8102.5975,259066.91850000006
1970-07-01,6648.692000000001,1830.7705,4732.631,14354.5895,9689.3975,37256.0805
1970-08-01,6265.8765,1455.889,4189.152,10375.6885,9893.698,32180.304000000004
1970-09-01,24059.855,16941.0735,29998.454,16496.769500000002,10827.926500000001,98324.0785
1970-10-01,68504.13949999999,55655.02649999999,26041.371500000005,14140.371500000001,8590.5385,172931.44749999998
1970-11-01,69799.365,70035.4015,22748.7615,10855.695500000002,9147.902,182587.12550000002
1970-12-01,121092.67499999999,104272.595,25410.6185,18900.7715,10603.791,280280.45099999994
1971-01-01,164888.355,144603.10049999997,33725.4505,25920.378,11258.346000000001,380395.63000000006
1971-02-01,151103.03000000003,141820.25,32416.340500000002,28863.892,9201.4565,363404.969
1971-03-01,178475.33,171394.23500000002,55895.02999999999,33870.24600000001,10778.339,450413.18
1971-04-01,255950.84,245358.94999999998,118018.25,31073.511000000002,5387.186,655788.7370000001
1971-05-01,334715.62500000006,328586.61000000004,103062.66,29623.5725,4919.08,800907.5474999999
1971-06-01,362524.295,351912.57,49533.9455,34707.283,8657.9775,807336.071
1971-07-01,152352.63499999998,133564.92299999998,6053.642,13535.404,9213.3575,314719.9615
1971-08-01,71745.1785,61885.20000000001,6341.249500000001,14995.26,9419.6415,164386.52949999998
1971-09-01,136524.30500000002,113158.675,17587.6945,14796.909999999998,10304.2825,292371.867
1971-10-01,176610.84000000003,152035.275,27445.6895,13118.869,10502.632500000002,379713.306
